,ID,incidence,product_cat,product_cat1,product_cat2,brand_1,brand_2,brand_3,quant_1,quant_2,quant_3,total_quantity,item_price_1,item_price_2,item_price_3,total price,creation_hour,creation_week,creation_day,dest_long,dest_lat,zip_code,population_denisty,median_household_income,sex,distance,DOB_year,age,Settlement_size,Labels,Segment K-means PCA,creation_time
1237,P11021947,1,Edibles,Edibles,Edibles,Chroma,Betty's Eddies,Chroma,2,2,1,5,280.0,120.0,90.0,490.00,13,10,4,-71.125229,42.372846,2138.0,13251.0,75446.0,0.0,4.0653,1981.0,41.0,1.0,Well-Off,1.0,2021-03-11
1238,P11031683,1,Edibles,Edibles,Edibles,Entourage,Betty's Eddies,Chroma,1,2,1,4,60.0,60.0,90.0,490.00,18,10,5,-71.199389,42.408344,2478.0,5308.0,110633.0,1.0,9.249,1950.0,72.0,1.0,Standard,2.0,2021-03-12
1239,P110905056,0,Flower,No info,Pre-rolls,Commonwealth Alternative Care (CAC),Root 90,Sira Naturals Prerolls,4,4,1,9,220.0,220.0,15.0,620.00,8,10,5,-71.168837,42.432041,2474.0,8620.0,87225.0,1.0,1.7219,1980.0,42.0,1.0,Standard,2.0,2021-03-12
1240,P11207773,1,Pre-rolls,Edibles,No info,Chroma,Wicked Sour,,4,1,0,5,100.0,60.0,0.0,160.00,13,10,5,-71.1678509,42.4145385,2476.0,7897.0,95305.0,0.0,3.7432,1953.0,69.0,0.0,Standard,2.0,2021-03-12
1241,P11082610,1,No info,No info,Flower,,Mayflower (MA),Sira Naturals Top-Shelf,1,1,1,3,49.5,49.5,50.0,329.01,18,10,5,-71.1681758,42.4234209,2474.0,8620.0,87225.0,1.0,1.8766,1951.0,71.0,1.0,Standard,2.0,2021-03-12
1242,P11117031,1,Concentrate,Vapes,Concentrate,Nantucket Nuggets,Origyn,Origyn,1,1,1,3,70.0,60.0,60.0,250.00,8,10,6,-71.135531,42.278317,2131.0,11505.0,66735.0,0.0,16.715,1986.0,36.0,1.0,Working Professional,0.0,2021-03-13
1243,P11070019,1,Edibles,Edibles,Flower,Sira Naturals Top-Shelf,Curaleaf,Sira Naturals Reserve,1,2,4,7,50.0,100.0,220.0,636.00,8,10,5,-71.1371819,42.4230835,2155.0,7072.0,73567.0,1.0,1.6023,1963.0,59.0,2.0,Well-Off,1.0,2021-03-12
1244,P11092279,1,Flower,Vapes,Vapes,Entourage,Entourage,Entourage,8,2,1,11,400.0,130.0,65.0,675.00,14,10,5,-71.130157,42.413616,2144.0,22082.0,78380.0,1.0,6.364,1988.0,34.0,1.0,Well-Off,1.0,2021-03-12
1245,P11161025,1,Vapes,Vapes,Flower,Patriot Care,Origyn,Origyn,1,1,1,3,65.0,65.0,65.0,585.00,8,10,6,-71.109191,42.300577,2130.0,10618.0,75730.0,0.0,5.039,1983.0,39.0,1.0,Well-Off,1.0,2021-03-13
1246,P11108887,1,No info,Flower,Flower,Sira Naturals Top-Shelf,Mayflower (MA),Sira Naturals Reserve,1,2,2,5,70.0,30.0,110.0,210.00,8,10,5,-71.123267,42.478028,1801.0,3075.0,75138.0,0.0,6.9536,1960.0,62.0,1.0,Well-Off,1.0,2021-03-12
1247,P11116971,1,Flower,No info,Edibles,Incredibles,Root 90,Wicked Sour,1,2,1,4,70.0,99.0,30.0,212.05,8,10,6,-71.077842,42.4194605,2148.0,11797.0,53798.0,0.0,10.773,1991.0,31.0,2.0,Well-Off,1.0,2021-03-13
